run_accession	sample_accession	tax_id	scientific_name	instrument_model	library_name	fastq_ftp	study_accession
SRR30752852	SAMN43533648	9627	Vulpes vulpes	Illumina NovaSeq 6000	RM_S18-2063_WGSlib1DI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/052/SRR30752852/SRR30752852_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/052/SRR30752852/SRR30752852_2.fastq.gz	PRJNA1158265
SRR30752854	SAMN43533642	9627	Vulpes vulpes	Illumina NovaSeq 6000	RM_S13-0649_WGSlib1DI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/054/SRR30752854/SRR30752854_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/054/SRR30752854/SRR30752854_2.fastq.gz	PRJNA1158265
SRR30752856	SAMN43533640	9627	Vulpes vulpes	Illumina NovaSeq 6000	ORC_S18-2071_WGSlib1DI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/056/SRR30752856/SRR30752856_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/056/SRR30752856/SRR30752856_2.fastq.gz	PRJNA1158265
SRR30752858	SAMN43533638	9627	Vulpes vulpes	Illumina NovaSeq 6000	ORC_S18-2068_WGSlib1DI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/058/SRR30752858/SRR30752858_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/058/SRR30752858/SRR30752858_2.fastq.gz	PRJNA1158265
SRR30752859	SAMN43533626	9627	Vulpes vulpes	Illumina NovaSeq 6000	ECAN_S14-0407_WGSlib1aDI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/059/SRR30752859/SRR30752859_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/059/SRR30752859/SRR30752859_2.fastq.gz	PRJNA1158265
SRR30752860	SAMN43533637	9627	Vulpes vulpes	Illumina NovaSeq 6000	ORC_S18-2062_WGSlib1DI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/060/SRR30752860/SRR30752860_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/060/SRR30752860/SRR30752860_2.fastq.gz	PRJNA1158265
SRR30752868	SAMN43533646	9627	Vulpes vulpes	Illumina HiSeq 4000	RM_S13-3301_WGSlib1SI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/068/SRR30752868/SRR30752868_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/068/SRR30752868/SRR30752868_2.fastq.gz	PRJNA1158265
SRR30752873	SAMN43533628	9627	Vulpes vulpes	Illumina HiSeq 4000	LAS_F01_WGSlib1SI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/073/SRR30752873/SRR30752873_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/073/SRR30752873/SRR30752873_2.fastq.gz	PRJNA1158265
SRR30752876	SAMN43533651	9627	Vulpes vulpes	Illumina NovaSeq 6000	SV_S10-0170_WGSlib1bDI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/076/SRR30752876/SRR30752876_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/076/SRR30752876/SRR30752876_2.fastq.gz	PRJNA1158265
SRR30752879	SAMN43533649	9627	Vulpes vulpes	Illumina NovaSeq 6000	RUS_S12-0237_WGSlib1aDI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/079/SRR30752879/SRR30752879_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/079/SRR30752879/SRR30752879_2.fastq.gz	PRJNA1158265
SRR30752834	SAMN43533654	9627	Vulpes vulpes	Illumina NovaSeq 6000	WAC_S10-0583_WGSlib2DI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/034/SRR30752834/SRR30752834_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/034/SRR30752834/SRR30752834_2.fastq.gz	PRJNA1158265
SRR30752839	SAMN43533638	9627	Vulpes vulpes	Illumina NovaSeq 6000	ORC_S18-2068_WGSlib2DI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/039/SRR30752839/SRR30752839_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/039/SRR30752839/SRR30752839_2.fastq.gz	PRJNA1158265
SRR30752844	SAMN43533630	9627	Vulpes vulpes	Illumina NovaSeq 6000	LAS_F03_WGSlib2DI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/044/SRR30752844/SRR30752844_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/044/SRR30752844/SRR30752844_2.fastq.gz	PRJNA1158265
SRR30752853	SAMN43533645	9627	Vulpes vulpes	Illumina NovaSeq 6000	RM_S13-2269_WGSlib1DI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/053/SRR30752853/SRR30752853_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/053/SRR30752853/SRR30752853_2.fastq.gz	PRJNA1158265
SRR30752855	SAMN43533641	9627	Vulpes vulpes	Illumina NovaSeq 6000	ORC_S18-2072_WGSlib1DI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/055/SRR30752855/SRR30752855_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/055/SRR30752855/SRR30752855_2.fastq.gz	PRJNA1158265
SRR30752861	SAMN43533636	9627	Vulpes vulpes	Illumina NovaSeq 6000	ORC_S18-1173_WGSlib1DI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/061/SRR30752861/SRR30752861_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/061/SRR30752861/SRR30752861_2.fastq.gz	PRJNA1158265
SRR30752863	SAMN43533634	9627	Vulpes vulpes	Illumina NovaSeq 6000	ORC_S17-2543_WGSlib1DI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/063/SRR30752863/SRR30752863_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/063/SRR30752863/SRR30752863_2.fastq.gz	PRJNA1158265
SRR30752864	SAMN43533633	9627	Vulpes vulpes	Illumina NovaSeq 6000	ORC_S13-2559_WGSlib1DI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/064/SRR30752864/SRR30752864_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/064/SRR30752864/SRR30752864_2.fastq.gz	PRJNA1158265
SRR30752866	SAMN43533650	9627	Vulpes vulpes	Illumina HiSeq 4000	SN_S11-0008_WGSlib1SI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/066/SRR30752866/SRR30752866_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/066/SRR30752866/SRR30752866_2.fastq.gz	PRJNA1158265
SRR30752869	SAMN43533632	9627	Vulpes vulpes	Illumina HiSeq 4000	LAS_M01_WGSlib1SI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/069/SRR30752869/SRR30752869_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/069/SRR30752869/SRR30752869_2.fastq.gz	PRJNA1158265
SRR30752875	SAMN43533652	9627	Vulpes vulpes	Illumina NovaSeq 6000	VT_F12-232_WGSlib1aDI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/075/SRR30752875/SRR30752875_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/075/SRR30752875/SRR30752875_2.fastq.gz	PRJNA1158265
SRR30752877	SAMN43533651	9627	Vulpes vulpes	Illumina NovaSeq 6000	SV_S10-0170_WGSlib1aDI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/077/SRR30752877/SRR30752877_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/077/SRR30752877/SRR30752877_2.fastq.gz	PRJNA1158265
SRR30752878	SAMN43533649	9627	Vulpes vulpes	Illumina NovaSeq 6000	RUS_S12-0237_WGSlib1bDI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/078/SRR30752878/SRR30752878_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/078/SRR30752878/SRR30752878_2.fastq.gz	PRJNA1158265
SRR30752881	SAMN43533625	9627	Vulpes vulpes	Illumina NovaSeq 6000	ECAN_S14-0358_WGSlib1aDI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/081/SRR30752881/SRR30752881_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/081/SRR30752881/SRR30752881_2.fastq.gz	PRJNA1158265
SRR30752882	SAMN43533624	9627	Vulpes vulpes	Illumina NovaSeq 6000	AK_S12-1159_WGSlib1DI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/082/SRR30752882/SRR30752882_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/082/SRR30752882/SRR30752882_2.fastq.gz	PRJNA1158265
SRR30752828	SAMN43533644	9627	Vulpes vulpes	Illumina NovaSeq 6000	RM_S13-2260_WGSlib1aDI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/028/SRR30752828/SRR30752828_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/028/SRR30752828/SRR30752828_2.fastq.gz	PRJNA1158265
SRR30752832	SAMN43533657	9627	Vulpes vulpes	Illumina NovaSeq 6000	WAC_S20-1700_WGSlib1DI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/032/SRR30752832/SRR30752832_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/032/SRR30752832/SRR30752832_2.fastq.gz	PRJNA1158265
SRR30752833	SAMN43533656	9627	Vulpes vulpes	Illumina NovaSeq 6000	WAC_S11-0716_WGSlib2DI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/033/SRR30752833/SRR30752833_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/033/SRR30752833/SRR30752833_2.fastq.gz	PRJNA1158265
SRR30752835	SAMN43533650	9627	Vulpes vulpes	Illumina NovaSeq 6000	SN_S11-0008_WGSlib2DI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/035/SRR30752835/SRR30752835_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/035/SRR30752835/SRR30752835_2.fastq.gz	PRJNA1158265
SRR30752838	SAMN43533639	9627	Vulpes vulpes	Illumina NovaSeq 6000	ORC_S18-2069_WGSlib2DI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/038/SRR30752838/SRR30752838_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/038/SRR30752838/SRR30752838_2.fastq.gz	PRJNA1158265
SRR30752842	SAMN43533632	9627	Vulpes vulpes	Illumina NovaSeq 6000	LAS_M01_WGSlib2DI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/042/SRR30752842/SRR30752842_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/042/SRR30752842/SRR30752842_2.fastq.gz	PRJNA1158265
SRR30752843	SAMN43533631	9627	Vulpes vulpes	Illumina NovaSeq 6000	LAS_F05_WGSlib2DI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/043/SRR30752843/SRR30752843_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/043/SRR30752843/SRR30752843_2.fastq.gz	PRJNA1158265
SRR30752847	SAMN43533656	9627	Vulpes vulpes	Illumina NovaSeq 6000	WAC_S11-0716_WGSlib1DI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/047/SRR30752847/SRR30752847_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/047/SRR30752847/SRR30752847_2.fastq.gz	PRJNA1158265
SRR30752849	SAMN43533655	9627	Vulpes vulpes	Illumina NovaSeq 6000	WAC_S11-0715_WGSlib1DI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/049/SRR30752849/SRR30752849_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/049/SRR30752849/SRR30752849_2.fastq.gz	PRJNA1158265
SRR30752850	SAMN43533654	9627	Vulpes vulpes	Illumina NovaSeq 6000	WAC_S10-0583_WGSlib1DI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/050/SRR30752850/SRR30752850_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/050/SRR30752850/SRR30752850_2.fastq.gz	PRJNA1158265
SRR30752851	SAMN43533653	9627	Vulpes vulpes	Illumina NovaSeq 6000	WAC_S10-0511_WGSlib1DI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/051/SRR30752851/SRR30752851_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/051/SRR30752851/SRR30752851_2.fastq.gz	PRJNA1158265
SRR30752857	SAMN43533639	9627	Vulpes vulpes	Illumina NovaSeq 6000	ORC_S18-2069_WGSlib1DI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/057/SRR30752857/SRR30752857_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/057/SRR30752857/SRR30752857_2.fastq.gz	PRJNA1158265
SRR30752862	SAMN43533635	9627	Vulpes vulpes	Illumina NovaSeq 6000	ORC_S17-2544_WGSlib1DI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/062/SRR30752862/SRR30752862_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/062/SRR30752862/SRR30752862_2.fastq.gz	PRJNA1158265
SRR30752865	SAMN43533629	9627	Vulpes vulpes	Illumina NovaSeq 6000	LAS_F02_WGSlib1DI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/065/SRR30752865/SRR30752865_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/065/SRR30752865/SRR30752865_2.fastq.gz	PRJNA1158265
SRR30752867	SAMN43533647	9627	Vulpes vulpes	Illumina HiSeq 4000	RM_S13-3312_WGSlib1SI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/067/SRR30752867/SRR30752867_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/067/SRR30752867/SRR30752867_2.fastq.gz	PRJNA1158265
SRR30752870	SAMN43533625	9627	Vulpes vulpes	Illumina NovaSeq 6000	ECAN_S14-0358_WGSlib1bDI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/070/SRR30752870/SRR30752870_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/070/SRR30752870/SRR30752870_2.fastq.gz	PRJNA1158265
SRR30752871	SAMN43533631	9627	Vulpes vulpes	Illumina HiSeq 4000	LAS_F05_WGSlib1SI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/071/SRR30752871/SRR30752871_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/071/SRR30752871/SRR30752871_2.fastq.gz	PRJNA1158265
SRR30752872	SAMN43533630	9627	Vulpes vulpes	Illumina HiSeq 4000	LAS_F03_WGSlib1SI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/072/SRR30752872/SRR30752872_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/072/SRR30752872/SRR30752872_2.fastq.gz	PRJNA1158265
SRR30752874	SAMN43533652	9627	Vulpes vulpes	Illumina NovaSeq 6000	VT_F12-232_WGSlib1bDI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/074/SRR30752874/SRR30752874_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/074/SRR30752874/SRR30752874_2.fastq.gz	PRJNA1158265
SRR30752880	SAMN43533644	9627	Vulpes vulpes	Illumina NovaSeq 6000	RM_S13-2260_WGSlib1bDI	ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/080/SRR30752880/SRR30752880_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR307/080/SRR30752880/SRR30752880_2.fastq.gz	PRJNA1158265
